School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Data As Of
SCHOOL FOR INT'L STUD - K,K,15,DAMAGED EXTERIOR MASONRY/PARAPETS/ROOF,12710000,CIP,K293,284 BALTIC STREET,Brooklyn,11201,BROOKLYN ,40.685419,-73.993351,6,33,69,3006401,3004020001,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,"(40.685419, -73.993351)",
I.S. 391 - BRONX,X,10,RENEWAL SBHC,2068500,CIP,X137,2225 WEBSTER AVENUE,Bronx,10457,BRONX    ,40.854493,-73.896717,5,15,379,2013307,2031430043,Mount Hope                                                                 ,"(40.854493, -73.896717)",
P.S. 249 - BROOKLYN,K,17,LOW VOLT/PLANYC CLIMATE CTRL/PLANYC BOILER CONV,7867000,CIP,K249,18 MARLBOROUGH ROAD,Brooklyn,11226,BROOKLYN ,40.64971,-73.966046,14,40,506,3116438,3050750001,Flatbush                                                                   ,"(40.64971, -73.966046)",11/13/2017
CSI HS FOR INTERNATIONAL STUDI,R,31,PLAYGROUND REDEVELOPMENT,2923000,CIP,R043,100 ESSEX DRIVE,Staten Island,10314,STATEN IS,40.581315,-74.158589,2,51,27702,5149609,5024500320,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ,"(40.581315, -74.158589)",11/13/2017
P.P.A.S. - MANHATTAN,M,2,MASONRY/AUD UPG/WIN/FLOOD/PARAPETS/ROOFS/FA,7315000,CIP,M017,328 WEST 48 STREET,Manhattan,10036,MANHATTAN,40.761448,-73.988019,4,3,127,1025092,1010380014,Clinton                                                                    ,"(40.761448, -73.988019)",11/13/2017
FORT HAMILTON HS - K,K,20,FY14 RESO A AUDITORIUM UPGRADE,428018,CIP,K490,8301 SHORE ROAD,Brooklyn,11209,BROOKLYN ,40.627835,-74.040046,10,43,46,3152318,3060130001,Bay Ridge                                                                  ,"(40.627835, -74.040046)",
P.S. 14 ADDITION - BRONX,X,8,Addition,50850000,CAP,X014,3041 BRUCKNER BLVD,Bronx,10461,BRONX    ,40.835779,-73.825735,10,13,184,2072754,2053130092,Schuylerville-Throgs Neck-Edgewater Park                                   ,"(40.835779, -73.825735)",11/13/2017
MARBLE HILL INTERNATIONAL HS -,X,10,EXT MASONRY/FLOOD/PARAPETS/ROOFS,10490000,CIP,X475,99 TERRACE VIEW AVENUE,Bronx,10463,BRONX    ,40.877105,-73.912256,8,10,309,1064532,1022150080,Marble Hill-Inwood                                                         ,"(40.877105, -73.912256)",11/13/2017
J.H.S. 216 - QUEENS,Q,26,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,6000761,CIP,Q216,64-20 175 STREET,Queens,11365,QUEENS   ,40.737517,-73.794031,8,24,1341,4149078,4069030001,Fresh Meadows-Utopia                                                       ,"(40.737517, -73.794031)",11/13/2017
SUSAN E. WAGNER HS - STATEN IS,R,31,EXT DOORS/EXT MASONRY/WINDOWS/PARAPETS/ROOFS,28898919,CIP,R460,1200 MANOR ROAD,Staten Island,10314,STATEN IS,40.596803,-74.124227,2,50,181,5146639,5009550100,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   ,"(40.596803, -74.124227)",11/13/2017
